Manuscript Number,Current Status
PONE-D-15-15389,Completed Reject
PONE-D-15-15391,Completed Reject
PONE-D-15-15392,Completed Reject
PONE-D-15-15396,Completed Reject
PONE-D-15-15405,Completed Reject
PONE-D-15-15406R1,Completed Reject
PONE-D-15-15412R1,Completed Accept
PONE-D-15-15427R2,Completed Accept
PONE-D-15-15446,Completed Reject
PONE-D-15-15479,Completed Reject
PONE-D-15-15484R3,Completed Accept
PONE-D-15-15485R1,Completed Accept
PONE-D-15-15492,Completed Reject
PONE-D-15-15506,Completed Reject
PONE-D-15-15510R1,Completed Accept
PONE-D-15-15511R2,Completed Accept
PONE-D-15-15524,Completed Reject
PONE-D-15-15526,Completed Reject
PONE-D-15-15531R1,Completed Accept
PONE-D-15-15535,Completed Reject
PONE-D-15-15537,Completed Withdrawn
PONE-D-15-15538R1,Completed Accept
PONE-D-15-15542,Completed Withdrawn
PONE-D-15-15547,Completed Reject
PONE-D-15-15548R2,Completed Accept
PONE-D-15-15550R2,Completed Accept
PONE-D-15-15557R1,Completed Accept
PONE-D-15-15558R1,Completed Reject
PONE-D-15-15559,Completed Reject
PONE-D-15-15566R2,Completed Accept
PONE-D-15-15567R2,Completed Accept
PONE-D-15-15568,Completed Reject
PONE-D-15-15584R1,Revise
PONE-D-15-15602R1,Completed Accept
PONE-D-15-15606,Completed Reject
PONE-D-15-15608,Completed Withdrawn
PONE-D-15-15609,Completed Reject
PONE-D-15-15613,Completed Reject
PONE-D-15-15616R2,Completed Accept
PONE-D-15-15618R2,Completed Accept
PONE-D-15-15627,Completed Withdrawn
PONE-D-15-15638R2,Completed Accept
PONE-D-15-15641,Completed Withdrawn
PONE-D-15-15664,Completed Reject
PONE-D-15-15665,Completed Reject
PONE-D-15-15669,Completed Reject
PONE-D-15-15670,Completed Reject
PONE-D-15-15671,Completed Reject
PONE-D-15-15672,Completed Reject
PONE-D-15-15673,Completed Reject
PONE-D-15-15681,Completed Withdrawn
PONE-D-15-15683R2,Completed Accept
PONE-D-15-15684R3,Completed Accept
PONE-D-15-15688R1,Completed Accept
PONE-D-15-15699R1,Completed Reject
PONE-D-15-15705R2,Completed Accept
PONE-D-15-15714R1,Completed Withdrawn
PONE-D-15-15716,Completed Reject
PONE-D-15-15724,Completed Reject
PONE-D-15-15725,Completed Reject
PONE-D-15-15727R3,Completed Accept
